# Collisional Ionization Equilibrium (CIE) Ion Fractions
#
# This file provides temperature-dependent ion fraction data for a set of
# astrophysically relevant elements under the assumption of collisional
# ionization equilibrium (CIE). The ion fractions represent the fractional
# abundance of each ionisation stage as a function of logarithmic temperature.
# The data are computed using the non-equilibrium multi-ion framework described in:
# Mathew, A., Mackey, J., Celeste, M., Haworth, T. J., & Mellema, G. (2025),
# A&A, 695, A73, doi:10.1051/0004-6361/202452373.
#
# This dataset is generated using the NEMOv1 framework coupled with the PION MHD code.
#
# Units:
#   Temperature: Kelvin (log10 scale)
#   Ion fractions: dimensionless
#
# Format:
#   log_T  h_1 h_2 he_1 he_2 he_3 ... fe_27
#
# All ion fractions are normalised such that, for each element:
#   sum_i f_i = 1
#
log_T h_1 h_2 he_1 he_2 he_3 c_1 c_2 c_3 c_4 c_5 c_6 c_7 n_1 n_2 n_3 n_4 n_5 n_6 n_7 n_8 o_1 o_2 o_3 o_4 o_5 o_6 o_7 o_8 o_9 ne_1 ne_2 ne_3 ne_4 ne_5 ne_6 ne_7 ne_8 ne_9 ne_10 ne_11 si_1 si_2 si_3 si_4 si_5 si_6 si_7 si_8 si_9 si_10 si_11 si_12 si_13 si_14 si_15 s_1 s_2 s_3 s_4 s_5 s_6 s_7 s_8 s_9 s_10 s_11 s_12 s_13 s_14 s_15 s_16 s_17 fe_1 fe_2 fe_3 fe_4 fe_5 fe_6 fe_7 fe_8 fe_9 fe_10 fe_11 fe_12 fe_13 fe_14 fe_15 fe_16 fe_17 fe_18 fe_19 fe_20 fe_21 fe_22 fe_23 fe_24 fe_25 fe_26 fe_27
3.90229232e+00 9.99906930e-01 9.30697265e-05 9.99973555e-01 2.64445729e-05 2.39608904e-12 9.99189474e-01 8.10526245e-04 4.10112093e-12 1.04836047e-12 3.10466497e-12 1.60169041e-12 1.00008496e-12 9.99984957e-01 1.50428417e-05 1.29607081e-11 1.38444221e-12 1.40638116e-12 2.58447993e-12 1.50050544e-12 1.00007708e-12 9.99927727e-01 7.22725629e-05 1.69324403e-11 4.20716314e-12 1.02332383e-12 2.55198407e-12 2.28382173e-12 1.43096265e-12 1.00011396e-12 9.99931210e-01 6.87899258e-05 1.56000324e-10 1.29805968e-11 8.07260664e-12 2.94968185e-12 1.00000000e-12 1.83543053e-12 1.93322351e-12 1.33869357e-12 1.00010345e-12 6.46016449e-01 3.53983482e-01 6.82404499e-08 8.25005985e-11 1.53765595e-10 6.11935299e-11 2.98656934e-11 1.15987546e-11 1.00000000e-12 1.19415967e-12 1.00000000e-12 1.89419378e-12 1.63083991e-12 1.24225335e-12 9.99475762e-13 9.80743743e-01 1.92562569e-02 7.79026119e-11 2.65929250e-11 5.16978294e-12 1.95120956e-11 2.12071648e-11 1.05592277e-11 1.72431200e-12 2.71090026e-12 1.32260840e-12 2.08300190e-12 1.00000000e-12 1.00000000e-12 1.54915789e-12 1.21421340e-12 9.99926384e-13 3.25757637e-01 6.74241439e-01 9.19697769e-07 1.83151507e-09 7.91546593e-10 4.07653038e-10 2.33856721e-10 1.48103472e-10 5.00447192e-12 7.46875139e-11 5.56567399e-11 4.58111219e-11 1.00000000e-12 1.93904657e-12 5.62197378e-12 2.92232997e-11 2.89463338e-11 2.03831726e-11 1.27838187e-11 3.03321409e-12 3.13035544e-12 1.00000000e-12 1.00000000e-12 1.47432258e-12 1.37421217e-12 1.14652910e-12 9.99902249e-13
3.90960993e+00 9.99893612e-01 1.06387861e-04 9.99973030e-01 2.69703023e-05 2.89737485e-12 9.98965122e-01 1.03487790e-03 4.09647788e-12 1.05279805e-12 3.10828683e-12 1.60229103e-12 1.00017002e-12 9.99982468e-01 1.75319504e-05 1.29536042e-11 1.38100400e-12 1.39571732e-12 2.58697133e-12 1.50103062e-12 1.00017971e-12 9.99916265e-01 8.37350446e-05 1.69576999e-11 4.17496916e-12 1.02064423e-12 2.52706150e-12 2.28572938e-12 1.43144843e-12 1.00003111e-12 9.99930053e-01 6.99465725e-05 1.58648453e-10 1.29562490e-11 8.02078782e-12 2.92916825e-12 1.00000000e-12 1.81424907e-12 1.93437526e-12 1.33905692e-12 1.00022509e-12 6.00280072e-01 3.99719821e-01 1.05707653e-07 8.13868498e-11 1.52861392e-10 6.08633555e-11 2.96413316e-11 1.15058252e-11 1.00000000e-12 1.20098619e-12 1.00000000e-12 1.88908607e-12 1.63136621e-12 1.24246880e-12 9.99849455e-13 9.75809857e-01 2.41901429e-02 7.86155878e-11 2.64902851e-11 5.14944250e-12 1.94380312e-11 2.13471521e-11 1.06307989e-11 1.73515157e-12 2.68195612e-12 1.33301253e-12 2.09413121e-12 1.00000000e-12 1.00000000e-12 1.54944353e-12 1.21433667e-12 9.99885612e-13 2.76342084e-01 7.23656550e-01 1.36298759e-06 1.83145824e-09 7.90655401e-10 4.07306918e-10 2.33768018e-10 1.48120184e-10 4.98942315e-12 7.47556367e-11 5.57237994e-11 4.58635263e-11 1.00000000e-12 1.91628714e-12 5.53183052e-12 2.89535817e-11 2.88479854e-11 2.03079705e-11 1.27475582e-11 3.02690342e-12 3.11050598e-12 1.00000000e-12 1.00000000e-12 1.47297390e-12 1.37416936e-12 1.14656168e-12 9.99908531e-13
3.91692679e+00 9.99878067e-01 1.21932608e-04 9.99972484e-01 2.75159144e-05 3.56198210e-12 9.98710921e-01 1.28907922e-03 4.09218998e-12 1.05743611e-12 3.11213131e-12 1.60296713e-12 1.00009644e-12 9.99979493e-01 2.05073087e-05 1.29484635e-11 1.37753308e-12 1.38498114e-12 2.58960108e-12 1.50160514e-12 1.00011340e-12 9.99902857e-01 9.71427898e-05 1.69858177e-11 4.14258050e-12 1.01791736e-12 2.50183286e-12 2.28776283e-12 1.43198802e-12 1.00001174e-12 9.99928863e-01 7.11364407e-05 1.61821296e-10 1.29304892e-11 7.96741987e-12 2.90809829e-12 1.00000000e-12 1.79277094e-12 1.93548166e-12 1.33937496e-12 1.00011568e-12 5.56992208e-01 4.43007635e-01 1.56288873e-07 8.02525215e-11 1.51928129e-10 6.05222686e-11 2.94103952e-11 1.14100983e-11 1.00000000e-12 1.20799423e-12 1.00000000e-12 1.88374164e-12 1.63188718e-12 1.24267155e-12 9.99957714e-13 9.70317185e-01 2.96828152e-02 7.95095346e-11 2.63840177e-11 5.12875806e-12 1.93618282e-11 2.14909773e-11 1.07044099e-11 1.74633504e-12 2.65288335e-12 1.34374651e-12 2.10555593e-12 1.00000000e-12 1.00000000e-12 1.54979184e-12 1.21449951e-12 9.99948554e-13 2.35923198e-01 7.64074865e-01 1.93302486e-06 1.83135115e-09 7.89716054e-10 4.06939236e-10 2.33670255e-10 1.48133487e-10 4.97386683e-12 7.48240920e-11 5.57917001e-11 4.59165247e-11 1.00000000e-12 1.89327380e-12 5.44103894e-12 2.86772087e-11 2.87458629e-11 2.02299927e-11 1.27095641e-11 3.02026869e-12 3.09005711e-12 1.00000000e-12 1.00000000e-12 1.47176610e-12 1.37433006e-12 1.14677572e-12 1.00007748e-12
3.92423391e+00 9.99839164e-01 1.60836245e-04 9.99971966e-01 2.80337543e-05 4.35033463e-12 9.98141826e-01 1.85817379e-03 4.09207282e-12 1.06159019e-12 3.11550949e-12 1.60349422e-12 9.99987182e-13 9.99971553e-01 2.84469003e-05 1.29469855e-11 1.37457145e-12 1.37577189e-12 2.59193054e-12 1.50206865e-12 9.99846076e-13 9.99868666e-01 1.31333674e-04 1.70099683e-11 4.11466448e-12 1.01522569e-12 2.47710750e-12 2.28953180e-12 1.43240847e-12 9.99953219e-13 9.99927756e-01 7.22441383e-05 1.65329734e-10 1.29016073e-11 7.92012308e-12 2.88987937e-12 1.00000000e-12 1.77214259e-12 1.93660287e-12 1.33972657e-12 9.99930959e-13 4.95742145e-01 5.04257539e-01 3.15986364e-07 7.92108807e-11 1.51085256e-10 6.02143654e-11 2.92007311e-11 1.13210696e-11 1.00000000e-12 1.21415914e-12 1.00000000e-12 1.87758460e-12 1.63245850e-12 1.24292399e-12 9.99968981e-13 9.59262411e-01 4.07375886e-02 8.20996173e-11 2.62556110e-11 5.10838780e-12 1.92758131e-11 2.16149735e-11 1.07685685e-11 1.75667457e-12 2.62416465e-12 1.35325061e-12 2.11563338e-12 1.00000000e-12 1.00000000e-12 1.55008940e-12 1.21462025e-12 1.00007208e-12 1.87770008e-01 8.12226343e-01 3.64525914e-06 1.83061779e-09 7.88592032e-10 4.06465499e-10 2.33500883e-10 1.48094243e-10 4.95840901e-12 7.48600517e-11 5.58337266e-11 4.59485707e-11 1.00000000e-12 1.87267324e-12 5.35496486e-12 2.83999823e-11 2.86403963e-11 2.01503219e-11 1.26664681e-11 3.01257682e-12 3.06955836e-12 1.00000000e-12 1.00000000e-12 1.46950753e-12 1.37398566e-12 1.14654985e-12 9.99854837e-13
3.93154084e+00 9.99798968e-01 2.01032223e-04 9.99971426e-01 2.85741625e-05 5.16322298e-12 9.97558421e-01 2.44157876e-03 4.09545864e-12 1.06601916e-12 3.11927756e-12 1.60419017e-12 1.00007999e-12 9.99963271e-01 3.67290646e-05 1.29488297e-11 1.37163498e-12 1.36646417e-12 2.59459109e-12 1.50268828e-12 1.00012662e-12 9.99833412e-01 1.66588134e-04 1.70374034e-11 4.08608246e-12 1.01244698e-12 2.45195417e-12 2.29137278e-12 1.43284504e-12 9.99936542e-13 9.99926609e-01 7.33910635e-05 1.69469947e-10 1.28713023e-11 7.87087194e-12 2.87092044e-12 1.00000000e-12 1.75128248e-12 1.93782063e-12 1.34012807e-12 1.00012683e-12 4.45152191e-01 5.54847305e-01 5.03902873e-07 7.81418526e-11 1.50206920e-10 5.98932051e-11 2.89829550e-11 1.12287242e-11 1.00000000e-12 1.22056260e-12 1.00000000e-12 1.87113664e-12 1.63295096e-12 1.24310259e-12 9.99943942e-13 9.48054540e-01 5.19454595e-02 8.58193185e-11 2.61248454e-11 5.08760566e-12 1.91881426e-11 2.17440021e-11 1.08353612e-11 1.76743700e-12 2.59526966e-12 1.36316660e-12 2.12609890e-12 1.00000000e-12 1.00000000e-12 1.55042574e-12 1.21476913e-12 9.99875711e-13 1.55066293e-01 8.44928171e-01 5.53320490e-06 1.82985446e-09 7.87423047e-10 4.05972553e-10 2.33324484e-10 1.48053332e-10 4.94238816e-12 7.48975955e-11 5.58776287e-11 4.59820432e-11 1.00000000e-12 1.85160619e-12 5.26782612e-12 2.81157738e-11 2.85309388e-11 2.00676819e-11 1.26217160e-11 3.00457556e-12 3.04841258e-12 1.00000000e-12 1.00000000e-12 1.46755942e-12 1.37398513e-12 1.14661750e-12 1.00016727e-12
3.93884745e+00 9.99757424e-01 2.42575569e-04 9.99970862e-01 2.91383925e-05 6.20795571e-12 9.96960260e-01 3.03974047e-03 4.10233989e-12 1.07062812e-12 3.12306477e-12 1.60479547e-12 9.99936851e-13 9.99954625e-01 4.53746347e-05 1.29523468e-11 1.36848331e-12 1.35681559e-12 2.59714138e-12 1.50320498e-12 1.00001048e-12 9.99797051e-01 2.02948557e-04 1.70698979e-11 4.05705955e-12 1.00963803e-12 2.42651133e-12 2.29342683e-12 1.43338539e-12 9.99938552e-13 9.99925421e-01 7.45789651e-05 1.74353459e-10 1.28394716e-11 7.81955115e-12 2.85117870e-12 1.00000000e-12 1.73007439e-12 1.93901562e-12 1.34049578e-12 9.99826808e-13 4.02668334e-01 5.97330951e-01 7.15425843e-07 7.70445204e-11 1.49290984e-10 5.95579674e-11 2.87566235e-11 1.11328889e-11 1.00000000e-12 1.22721764e-12 1.00000000e-12 1.86452719e-12 1.63349485e-12 1.24331481e-12 1.00004925e-12 9.36692209e-01 6.33077912e-02 9.07577915e-11 2.59916767e-11 5.06640244e-12 1.90987827e-11 2.18783537e-11 1.09049423e-11 1.77864700e-12 2.56620142e-12 1.37352015e-12 2.13697357e-12 1.00000000e-12 1.00000000e-12 1.55079199e-12 1.21493306e-12 1.00006022e-12 1.31509832e-01 8.68482600e-01 7.56427064e-06 1.82905963e-09 7.86206546e-10 4.05459287e-10 2.33140642e-10 1.48010654e-10 4.92577563e-12 7.49368240e-11 5.59235276e-11 4.60170338e-11 1.00000000e-12 1.83006011e-12 5.17961704e-12 2.78243632e-11 2.84172783e-11 1.99819176e-11 1.25752180e-11 2.99624722e-12 3.02659218e-12 1.00000000e-12 1.00000000e-12 1.46536811e-12 1.37382048e-12 1.14654937e-12 1.00015073e-12
3.94614169e+00 9.99685133e-01 3.14866867e-04 9.99970297e-01 2.97031514e-05 7.44729184e-12 9.96023447e-01 3.97655341e-03 4.14341787e-12 1.07511475e-12 3.12690561e-12 1.60549887e-12 1.00022649e-12 9.99938820e-01 6.11799417e-05 1.29604664e-11 1.36557380e-12 1.34772205e-12 2.59977883e-12 1.50377857e-12 1.00006159e-12 9.99733347e-01 2.66652823e-04 1.71037862e-11 4.02955013e-12 1.00682257e-12 2.40121287e-12 2.29538884e-12 1.43387326e-12 1.00004527e-12 9.99924241e-01 7.57587008e-05 1.79900716e-10 1.28060320e-11 7.76974150e-12 2.83225617e-12 1.00000000e-12 1.70921639e-12 1.94025914e-12 1.34089716e-12 1.00016944e-12 3.57434551e-01 6.42564304e-01 1.14482438e-06 7.59615588e-11 1.48394633e-10 5.92297004e-11 2.85352838e-11 1.10384104e-11 1.00000000e-12 1.23363554e-12 1.00000000e-12 1.85751474e-12 1.63411493e-12 1.24358389e-12 1.00016516e-12 9.20320509e-01 7.96794904e-02 1.05989852e-10 2.58496313e-11 5.04531090e-12 1.90047673e-11 2.20069589e-11 1.09718814e-11 1.78968304e-12 2.53738944e-12 1.38355526e-12 2.14746511e-12 1.00000000e-12 1.00000000e-12 1.55122426e-12 1.21514852e-12 1.00009932e-12 1.09572467e-01 8.90415967e-01 1.15625810e-05 1.82800284e-09 7.84895620e-10 4.04894887e-10 2.32925067e-10 1.47946343e-10 4.90893457e-12 7.49639333e-11 5.59600768e-11 4.60444070e-11 1.00000000e-12 1.80934762e-12 5.09352127e-12 2.75309702e-11 2.83011975e-11 1.98945382e-11 1.25262053e-11 2.98738166e-12 3.00443127e-12 1.00000000e-12 1.00000000e-12 1.46304073e-12 1.37380205e-12 1.14659526e-12 9.99981454e-13
3.95341797e+00 9.99568144e-01 4.31856073e-04 9.99969743e-01 3.02565625e-05 8.68100263e-12 9.94598030e-01 5.40197041e-03 4.26979823e-12 1.07923206e-12 3.13047022e-12 1.60607045e-12 1.00009529e-12 9.99912481e-01 8.75187303e-05 1.29727512e-11 1.36292419e-12 1.33939851e-12 2.60220915e-12 1.50426453e-12 1.00020239e-12 9.99629894e-01 3.70106439e-04 1.71383381e-11 4.00471472e-12 1.00407989e-12 2.37642496e-12 2.29725710e-12 1.43432642e-12 9.99632624e-13 9.99923094e-01 7.69059246e-05 1.86050355e-10 1.27710006e-11 7.72325781e-12 2.81495511e-12 1.00000000e-12 1.68890649e-12 1.94144150e-12 1.34126660e-12 9.99976928e-13 3.10460449e-01 6.89537624e-01 1.92632139e-06 7.49141167e-11 1.47547034e-10 5.89191953e-11 2.83257569e-11 1.09477463e-11 1.00000000e-12 1.23957232e-12 1.00000000e-12 1.84974695e-12 1.63461032e-12 1.24378275e-12 1.00012100e-12 8.97187273e-01 1.02812726e-01 1.44818930e-10 2.56958633e-11 5.02456670e-12 1.89047756e-11 2.21242374e-11 1.10334367e-11 1.80023474e-12 2.50900956e-12 1.39288624e-12 2.15717945e-12 1.00000000e-12 1.00000000e-12 1.55143531e-12 1.21518945e-12 9.99613430e-13 8.95018150e-02 9.10479615e-01 1.85663487e-05 1.82657015e-09 7.83467974e-10 4.04264478e-10 2.32665832e-10 1.47850531e-10 4.89204992e-12 7.49719669e-11 5.59815329e-11 4.60595418e-11 1.00000000e-12 1.79006034e-12 5.01093536e-12 2.72382624e-11 2.81836364e-11 1.98063309e-11 1.24743467e-11 2.97788263e-12 2.98210645e-12 1.00000000e-12 1.00000000e-12 1.46022252e-12 1.37369310e-12 1.14656347e-12 9.99625104e-13
3.96069294e+00 9.99447359e-01 5.52640885e-04 9.99969166e-01 3.08335812e-05 1.00994287e-11 9.93138788e-01 6.86121191e-03 4.45822613e-12 1.08356916e-12 3.13425807e-12 1.60670893e-12 1.00006743e-12 9.99885005e-01 1.14994559e-04 1.29903649e-11 1.36026918e-12 1.33094885e-12 2.60489908e-12 1.50486253e-12 1.00009075e-12 9.99523265e-01 4.76735449e-04 1.71793756e-11 3.97940512e-12 1.00128573e-12 2.35131913e-12 2.29928370e-12 1.43484815e-12 9.99947674e-13 9.99921907e-01 7.80925352e-05 1.93198506e-10 1.27342760e-11 7.67485156e-12 2.79694317e-12 1.00000000e-12 1.66841592e-12 1.94276288e-12 1.34171517e-12 1.00009454e-12 2.73534092e-01 7.26463125e-01 2.78274793e-06 7.38405834e-11 1.46663789e-10 5.85953229e-11 2.81081516e-11 1.08537551e-11 1.00000000e-12 1.24573969e-12 1.00000000e-12 1.84190516e-12 1.63524205e-12 1.24402080e-12 9.99965479e-13 8.74323921e-01 1.25676079e-01 1.98855433e-10 2.55394822e-11 5.00339130e-12 1.88029432e-11 2.22462707e-11 1.10975239e-11 1.81122681e-12 2.48045241e-12 1.40262341e-12 2.16727108e-12 1.00000000e-12 1.00000000e-12 1.55198401e-12 1.21549032e-12 1.00015368e-12 7.51910690e-02 9.24782910e-01 2.60174138e-05 1.82507945e-09 7.81983373e-10 4.03608572e-10 2.32395869e-10 1.47750659e-10 4.87454998e-12 7.49803538e-11 5.60039453e-11 4.60753495e-11 1.00000000e-12 1.77030910e-12 4.92731834e-12 2.69384964e-11 2.80616342e-11 1.97148438e-11 1.24205275e-11 2.96800508e-12 2.95909307e-12 1.00000000e-12 1.00000000e-12 1.45749610e-12 1.37375075e-12 1.14666614e-12 9.99969695e-13
3.96796647e+00 9.99322621e-01 6.77378502e-04 9.99968565e-01 3.14354852e-05 1.19020473e-11 9.91644748e-01 8.35525218e-03 4.71394836e-12 1.08811995e-12 3.13822703e-12 1.60738301e-12 9.99985515e-13 9.99856324e-01 1.43676358e-04 1.30128280e-11 1.35744183e-12 1.32220704e-12 2.60754252e-12 1.50539223e-12 1.00006884e-12 9.99413336e-01 5.86664369e-04 1.72550996e-11 3.95979180e-12 1.00000000e-12 2.32580204e-12 2.30139060e-12 1.43538890e-12 1.00001210e-12 9.99920680e-01 7.93202287e-05 2.01513875e-10 1.26957385e-11 7.62440909e-12 2.77817867e-12 1.00000000e-12 1.64752171e-12 1.94399483e-12 1.34213778e-12 1.00010144e-12 2.43747259e-01 7.56249040e-01 3.70040929e-06 7.27401472e-11 1.45742748e-10 5.82572555e-11 2.78820281e-11 1.07562658e-11 1.00000000e-12 1.25215033e-12 1.00000000e-12 1.83368117e-12 1.63578780e-12 1.24421699e-12 1.00007779e-12 8.51733387e-01 1.48266613e-01 2.68750209e-10 2.53804464e-11 4.98177457e-12 1.86992354e-11 2.23733335e-11 1.11642918e-11 1.82268557e-12 2.45172088e-12 1.41279224e-12 2.17776072e-12 1.00000000e-12 1.00000000e-12 1.55223863e-12 1.21555245e-12 1.00014214e-12 6.44227591e-02 9.35543343e-01 3.38938325e-05 1.82352789e-09 7.80438587e-10 4.02925702e-10 2.32114543e-10 1.47646480e-10 4.85640341e-12 7.49891166e-11 5.60273756e-11 4.60918732e-11 1.00000000e-12 1.75008019e-12 4.84266422e-12 2.66314628e-11 2.79349546e-11 1.96199056e-11 1.23646433e-11 2.95772757e-12 2.93536259e-12 1.00000000e-12 1.00000000e-12 1.45461556e-12 1.37375023e-12 1.14672460e-12 1.00009920e-12
3.97518100e+00 9.99050968e-01 9.49031830e-04 9.99967985e-01 3.20147961e-05 1.37090906e-11 9.88833603e-01 1.11663965e-02 5.97657725e-12 1.09199260e-12 3.14182794e-12 1.60795517e-12 9.99947282e-13 9.99790474e-01 2.09526138e-04 1.30418050e-11 1.35504707e-12 1.31444086e-12 2.61008830e-12 1.50591811e-12 1.00005732e-12 9.99172411e-01 8.27588766e-04 1.73517701e-11 3.94793906e-12 1.00000000e-12 2.30129358e-12 2.30327190e-12 1.43582726e-12 1.00024124e-12 9.99919457e-01 8.05425254e-05 2.10511003e-10 1.26569745e-11 7.57866613e-12 2.76161411e-12 1.00000000e-12 1.62771373e-12 1.94521360e-12 1.34246131e-12 1.00017389e-12 2.09703016e-01 7.90290952e-01 6.03215872e-06 7.16713135e-11 1.44894286e-10 5.79456464e-11 2.76736716e-11 1.06651796e-11 1.00000000e-12 1.25788978e-12 1.00000000e-12 1.82486423e-12 1.63628057e-12 1.24438192e-12 9.99877173e-13 8.14833355e-01 1.85166645e-01 5.66637761e-10 2.52124655e-11 4.96109744e-12 1.85901815e-11 2.24851711e-11 1.12236621e-11 1.83332663e-12 2.42398007e-12 1.42193156e-12 2.18714617e-12 1.00000000e-12 1.00000000e-12 1.55260787e-12 1.21570849e-12 9.99902882e-13 5.29932158e-02 9.46953246e-01 5.35346894e-05 1.82159906e-09 7.78797016e-10 4.02184523e-10 2.31791373e-10 1.47510169e-10 4.83854282e-12 7.49769725e-11 5.60339237e-11 4.60947585e-11 1.00000000e-12 1.73180591e-12 4.76368581e-12 2.63317385e-11 2.78102703e-11 1.95265603e-11 1.23072392e-11 2.94702662e-12 2.91183642e-12 1.00000000e-12 1.00000000e-12 1.45116238e-12 1.37367648e-12 1.14671803e-12 9.99951152e-13
3.98237207e+00 9.98720440e-01 1.27956006e-03 9.99967399e-01 3.26009340e-05 1.58253416e-11 9.85506449e-01 1.44935507e-02 8.33132820e-12 1.09578179e-12 3.14558854e-12 1.60860112e-12 9.99869171e-13 9.99708809e-01 2.91190548e-04 1.30782074e-11 1.35279118e-12 1.30694039e-12 2.61270488e-12 1.50648080e-12 9.99915563e-13 9.98879103e-01 1.12089744e-03 1.74549742e-11 3.93688789e-12 1.00000000e-12 2.27697794e-12 2.30516813e-12 1.43627089e-12 9.99916174e-13 9.99918211e-01 8.17885155e-05 2.20621227e-10 1.26170324e-11 7.53359167e-12 2.74547951e-12 1.00000000e-12 1.60806075e-12 1.94637263e-12 1.34280349e-12 9.99935018e-13 1.81034662e-01 8.18956301e-01 9.03575171e-06 7.05999557e-11 1.44052174e-10 5.76361621e-11 2.74672760e-11 1.05745478e-11 1.00000000e-12 1.26350667e-12 1.00000000e-12 1.81576501e-12 1.63690405e-12 1.24466538e-12 1.00017201e-12 7.74931119e-01 2.25068880e-01 1.07228687e-09 2.50395496e-11 4.94049362e-12 1.84779705e-11 2.25938969e-11 1.12816636e-11 1.84392689e-12 2.39648104e-12 1.43091337e-12 2.19633093e-12 1.00000000e-12 1.00000000e-12 1.55319857e-12 1.21603441e-12 1.00005385e-12 4.39632497e-02 9.55958311e-01 7.84359762e-05 1.81947954e-09 7.77078993e-10 4.01402968e-10 2.31444096e-10 1.47358024e-10 4.82039673e-12 7.49564383e-11 5.60341230e-11 4.60924509e-11 1.00000000e-12 1.71397209e-12 4.68614891e-12 2.60305455e-11 2.76835042e-11 1.94317292e-11 1.22479702e-11 2.93590973e-12 2.88796140e-12 1.00000000e-12 1.00000000e-12 1.44735855e-12 1.37351632e-12 1.14664533e-12 9.99947290e-13
3.98955917e+00 9.98379600e-01 1.62040019e-03 9.99966789e-01 3.32113295e-05 1.84121947e-11 9.82114243e-01 1.78857569e-02 1.16060710e-11 1.09975688e-12 3.14954553e-12 1.60929523e-12 1.00013052e-12 9.99623662e-01 3.76337725e-04 1.31229205e-11 1.35041132e-12 1.29920398e-12 2.61533229e-12 1.50701151e-12 1.00004752e-12 9.98577053e-01 1.42294662e-03 1.75706676e-11 3.92555299e-12 1.00000000e-12 2.25242039e-12 2.30726728e-12 1.43681101e-12 9.99987140e-13 9.99916924e-01 8.30754645e-05 2.32253508e-10 1.25752227e-11 7.48668021e-12 2.72868384e-12 1.00000000e-12 1.58828310e-12 1.94767507e-12 1.34319872e-12 9.99888111e-13 1.58887654e-01 8.41100146e-01 1.21995753e-05 6.95049037e-11 1.43175125e-10 5.73135367e-11 2.72530535e-11 1.04806804e-11 1.00000000e-12 1.26933866e-12 1.00000000e-12 1.80634998e-12 1.63749428e-12 1.24488005e-12 1.00004549e-12 7.37303155e-01 2.62696843e-01 1.72421868e-09 2.49171389e-11 4.92997296e-12 1.84030859e-11 2.27554901e-11 1.13662474e-11 1.85893265e-12 2.37386581e-12 1.44335719e-12 2.21057983e-12 1.00213497e-12 1.00000000e-12 1.55338711e-12 1.21604266e-12 9.99925510e-13 3.73105640e-02 9.62584800e-01 1.04632868e-04 1.81727726e-09 7.75293531e-10 4.00590318e-10 2.31082676e-10 1.47199533e-10 4.80159862e-12 7.49350146e-11 5.60343311e-11 4.60900423e-11 1.00000000e-12 1.69569113e-12 4.60763432e-12 2.57225205e-11 2.75520245e-11 1.93334320e-11 1.21865299e-11 2.92436093e-12 2.86338249e-12 1.00000000e-12 1.00000000e-12 1.44356340e-12 1.37347365e-12 1.14666442e-12 9.99795789e-13
3.99673471e+00 9.98009518e-01 1.99048184e-03 9.99966156e-01 3.38438354e-05 2.12466499e-11 9.78573669e-01 2.14263307e-02 1.60588306e-11 1.10385801e-12 3.15355124e-12 1.60996248e-12 1.00008699e-12 9.99531726e-01 4.68273690e-04 1.31780860e-11 1.34799681e-12 1.29132802e-12 2.61813061e-12 1.50760326e-12 1.00000245e-12 9.98250681e-01 1.74931915e-03 1.77007358e-11 3.91397834e-12 1.00000000e-12 2.22755083e-12 2.30945693e-12 1.43737875e-12 9.99866026e-13 9.99915588e-01 8.44118891e-05 2.45574347e-10 1.25315137e-11 7.43797499e-12 2.71124839e-12 1.00000000e-12 1.56822592e-12 1.94897142e-12 1.34359961e-12 1.00003942e-12 1.41173954e-01 8.58810480e-01 1.55661784e-05 6.83872605e-11 1.42263956e-10 5.69779602e-11 2.70312071e-11 1.03836649e-11 1.00000000e-12 1.27537815e-12 1.00000000e-12 1.79676762e-12 1.63813380e-12 1.24514018e-12 1.00011533e-12 7.01028631e-01 2.98971367e-01 2.55273115e-09 2.48145639e-11 4.92356583e-12 1.83429772e-11 2.29432587e-11 1.14641405e-11 1.87618887e-12 2.35321674e-12 1.45759069e-12 2.22730458e-12 1.00521412e-12 1.00000000e-12 1.55399342e-12 1.21637156e-12 1.00021730e-12 3.21784980e-02 9.67688376e-01 1.33122783e-04 1.81498645e-09 7.73438622e-10 3.99745412e-10 2.30706351e-10 1.47034163e-10 4.78215075e-12 7.49124042e-11 5.60343235e-11 4.60873504e-11 1.00000000e-12 1.67700243e-12 4.52831671e-12 2.54080344e-11 2.74158515e-11 1.92316883e-11 1.21228986e-11 2.91237211e-12 2.83811307e-12 1.00000000e-12 1.00000000e-12 1.43966004e-12 1.37342861e-12 1.14667312e-12 9.99939856e-13
